Finding,Status,Action
R01,OPEN,"Field survey, grading, floors, driveway profiles and utility inverts"
R02,PARTIAL,Both addresses added; owner and responsible professional details/signatures required
R03,OPEN,Public utility containment and continuous approved connections
R04,OPEN,Recorded private easement limits and WSSC junction design
R05,OPEN,Approved concept and full stormwater design/report
R06,PARTIAL,Proposed measured LOD added; final ESC design and approvals remain
R07,PARTIAL,Soil component table/historical evidence added; current environmental/landscape documents remain
R08,PARTIAL,Measured per-lot footprint clearances/ratios added; yard interpretation and projections remain
R09,PARTIAL,Recorded areas and label corrections made; survey/control reconciliation remains
R10,CLOSED,Full recorded conditions/adjoiners/legend supplied without ellipses
R11,OPEN,"Frontage width, cross slopes, driveway profiles and DPW&T determination"
R12,OPEN,"Complete coordinated architectural, structural and trade/energy drawings"
R13,PARTIAL,Source dossier and preparation worksheet supplied; executed applications/approvals remain
