Product ID,Product Name,Description,Category,Active,Price ID,Lookup Key,Amount,Currency,Type,Interval,Price Active,Created Date,Features,Metadata
prod_TpYGUmP4j35r4U,Enterprise Project Estimation,"Enterprise-grade estimation with custom models, historical data analysis, and portfolio optimization

Features:
• Custom estimation models
• Historical data analysis
• Portfolio optimization
• Risk analysis
• Budget forecasting
• Multiple scenarios
• Unlimited revisions
• Dedicated estimator
• Custom reporting
• Ongoing support",estimation,true,price_1Srt9xIQghAs8OOICw3pIigt,est-estimation-enterprise,$4999.00,usd,one_time,one-time,true,2026-01-21,,ai_powered:true;category:estimation;dedicated_estimator:true;project_size:portfolio;service_tier:enterprise
prod_TpYGNbwWcC05Dl,Premium Project Estimation,"Professional estimate with AI-powered analysis, value engineering, and multiple scenarios

Features:
• AI-powered cost analysis
• Detailed material specs
• Labor estimates by trade & phase
• Timeline with dependencies
• Value engineering suggestions
• Multiple scenario options
• Unlimited revisions
• Professional presentation
• Consultation included",estimation,true,price_1Srt9wIQghAs8OOIiHAsbWG8,est-estimation-premium,$1999.00,usd,one_time,one-time,true,2026-01-21,,ai_powered:true;category:estimation;project_size:large;service_tier:premium
prod_TpYGU3tb6zY8g5,Standard Project Estimation,"Comprehensive estimate with detailed breakdown, material specifications, and timeline

Features:
• Detailed cost breakdown
• Material specifications
• Labor estimates by trade
• Timeline estimate
• 2 revisions
• PDF & Excel delivery",estimation,true,price_1Srt9vIQghAs8OOIOoFidV2u,est-estimation-standard,$799.00,usd,one_time,one-time,true,2026-01-21,,category:estimation;popular:true;project_size:medium;service_tier:standard
prod_TpYGKm8zwHqGn8,Basic Project Estimation,"Quick estimate for small projects with basic material and labor costs

Features:
• Basic material cost estimate
• Labor cost estimate
• Single revision
• Digital delivery",estimation,true,price_1Srt9uIQghAs8OOIa00e7ygY,est-estimation-basic,$299.00,usd,one_time,one-time,true,2026-01-21,,category:estimation;project_size:small;service_tier:basic
prod_TpYGlf86qq8zkG,Quality Control Inspection,Professional quality control inspections and punch lists,ops,true,price_1Srt9tIQghAs8OOI87IULl40,ops-quality-control,$425.00,usd,one_time,one-time,true,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYGDwESFAOfvV,Progress Reporting,Custom progress reports and project updates,ops,true,price_1Srt9sIQghAs8OOISva7Hr4Z,ops-progress-reporting,$275.00,usd,one_time,one-time,true,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYGVOrtQrkY6T,Budget Analysis,Detailed budget review and cost optimization,ops,true,price_1Srt9sIQghAs8OOITuaDHWYW,ops-budget-analysis,$475.00,usd,one_time,one-time,true,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYGP445xMYbKu,Site Visits,Professional on-site project visits and inspections,ops,true,price_1Srt9rIQghAs8OOIgl5a1mxb,ops-site-visits,$350.00,usd,one_time,one-time,true,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYGm4NDhYonKb,Contractor Coordination,Coordinate multiple contractors and trades,ops,true,price_1Srt9qIQghAs8OOIrnDMOKA5,ops-contractor-coordination,$550.00,usd,one_time,one-time,true,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYGzjAe1tiIAT,Document Organization,Organize and digitize project documents,ops,true,price_1Srt9pIQghAs8OOIL6Xm2tmR,ops-document-organization,$400.00,usd,one_time,one-time,true,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYGuBRnAj5iJD,Inspection Scheduling,Coordinate and schedule all required inspections,ops,true,,,,,,,,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYFQmVESzCTcC,Permit Application Help,"Applications, resubmittals, follow-ups, jurisdiction communications",ops,true,,,,,,,,2026-01-21,,audience:gc;category:ops;product_type:a-la-carte
prod_TpYFDY2emMe5do,Permit & Inspection Package D - Enterprise,"Enterprise permit management with white-glove service, custom workflows, and portfolio management.

Features:
• Unlimited everything
• AI-powered optimization
• White-glove service
• Dedicated permit team
• Custom workflows
• Portfolio permit management
• Advanced analytics & reporting
• API integrations
• SLA guarantees
• On-site coordination
• Custom compliance rules",permits,true,price_1Srt8vIQghAs8OOIX90QId2D,permit-permit-package-d-year,$50989.80,usd,recurring,year,true,2026-01-21,,ai_review:true;category:permits;dedicated_specialist:true;enterprise_team:true;package_tier:D;permit_limit:unlimited;support_level:enterprise
prod_TpYFDY2emMe5do,Permit & Inspection Package D - Enterprise,"Enterprise permit management with white-glove service, custom workflows, and portfolio management.

Features:
• Unlimited everything
• AI-powered optimization
• White-glove service
• Dedicated permit team
• Custom workflows
• Portfolio permit management
• Advanced analytics & reporting
• API integrations
• SLA guarantees
• On-site coordination
• Custom compliance rules",permits,true,price_1Srt8vIQghAs8OOIRuroL49n,permit-permit-package-d-month,$4999.00,usd,recurring,month,true,2026-01-21,,ai_review:true;category:permits;dedicated_specialist:true;enterprise_team:true;package_tier:D;permit_limit:unlimited;support_level:enterprise
prod_TpYFI4lFoido6B,Permit & Inspection Package C - Professional,"Professional permit management with dedicated support, unlimited permits, and full-service coordination.

Features:
• Unlimited permit applications
• AI-powered review & optimization
• Full resubmittal management
• Guaranteed inspection scheduling
• Proactive compliance monitoring
• Dedicated permit specialist
• Priority support
• Full jurisdiction coordination
• Real-time status updates
• Compliance reporting
• Document management",permits,true,price_1Srt8uIQghAs8OOII5DQBxPC,permit-permit-package-c-year,$25489.80,usd,recurring,year,true,2026-01-21,,ai_review:true;category:permits;dedicated_specialist:true;package_tier:C;permit_limit:unlimited;support_level:dedicated
prod_TpYFI4lFoido6B,Permit & Inspection Package C - Professional,"Professional permit management with dedicated support, unlimited permits, and full-service coordination.

Features:
• Unlimited permit applications
• AI-powered review & optimization
• Full resubmittal management
• Guaranteed inspection scheduling
• Proactive compliance monitoring
• Dedicated permit specialist
• Priority support
• Full jurisdiction coordination
• Real-time status updates
• Compliance reporting
• Document management",permits,true,price_1Srt8uIQghAs8OOIs3xuhJip,permit-permit-package-c-month,$2499.00,usd,recurring,month,true,2026-01-21,,ai_review:true;category:permits;dedicated_specialist:true;package_tier:C;permit_limit:unlimited;support_level:dedicated
