Category,Line Item,Basis,Amount
Sources,Construction loan,65% LTC,280716670
Sources,Required equity,TDC less loan,151155130
Uses,Hard cost,"Base hard cost incl. general conditions, GC O&P and contingency",328596349
Uses,Land,Known acquisition basis,7100000
Uses,Architecture / design,4.2% of hard cost,13801047
Uses,Civil engineering,0.8% of hard cost,2628771
Uses,Structural engineering,0.6% of hard cost,1971578
Uses,MEP engineering,0.9% of hard cost,2957367
Uses,Geotech / environmental / survey / ALTA,Allowance,900000
Uses,Legal / zoning / entitlement,Allowance,1600000
Uses,Permits / impact / utility connection fees,4.0% of hard cost,13143854
Uses,Insurance / taxes during construction,1.1% of hard cost,3614560
Uses,Appraisal / third-party / lender legal,Allowance,850000
Uses,Leasing and marketing,Allowance,1750000
Uses,Owner contingency,3.0% of hard cost,9857890
Uses,Developer fee,3% of TDC before financing,11663142
Uses,Interest reserve,Average drawn balance method,28183710
Uses,Construction loan origination,1.25% of pre-interest loan basis,3253531
Uses,Total development cost,All uses,431871800
