Address,Jurisdiction,ZoningCode,FrontSetback,SideSetback,RearSetback,HeightLimit,LotCoverage,PermitAuthorityURL,TypicalPermitTimelineDays,Notes
1234 Kenilworth Ave NE Washington DC 20019,Washington DC,R-2,20 ft,8 ft,20 ft,40 ft,60%,https://dob.dc.gov,30,DC R-2 residential allows detached dwellings and duplexes; standard urban lot constraints
735 8th St SE Washington DC 20003,Washington DC,R-3,0 ft,0 ft,20 ft,50 ft,60%,https://dob.dc.gov,35,DC R-3 rowhouse zone; party-wall construction typical; Capitol Hill neighborhood
4200 Connecticut Ave NW Washington DC 20008,Washington DC,R-1-B,3 ft,3 ft,15 ft,40 ft,40%,https://dob.dc.gov,30,DC R-1-B detached single-family; Van Ness / upper NW; moderate lot coverage
1822 19th St NW Washington DC 20009,Washington DC,RF-1,0 ft,0 ft,15 ft,50 ft,65%,https://dob.dc.gov,40,DC RF-1 row/flat overlay; Dupont Circle area; allows flats above rowhouses
5612 Georgia Ave NW Washington DC 20011,Washington DC,R-4,10 ft,10 ft,15 ft,60 ft,75%,https://dob.dc.gov,45,DC R-4 apartment zone; Petworth area; multifamily up to 6 stories; higher coverage
307 N Bryan St Arlington VA 22201,Arlington County VA,R-5,25 ft,5 ft,25 ft,35 ft,35%,https://www.arlingtonva.us/Government/Programs/Building/Codes-Ordinances/Zoning,30,Arlington R-5 single-family; 5000 sq ft min lot; Clarendon area; tight urban setbacks
4210 N Pershing Dr Arlington VA 22203,Arlington County VA,R-6,25 ft,10 ft,25 ft,35 ft,35%,https://www.arlingtonva.us/Government/Programs/Building/Codes-Ordinances/Zoning,30,Arlington R-6 single-family; 6000 sq ft min lot; Ballston area; slightly larger setbacks than R-5
2815 N Glebe Rd Arlington VA 22207,Arlington County VA,R-10,30 ft,10 ft,30 ft,35 ft,30%,https://www.arlingtonva.us/Government/Programs/Building/Codes-Ordinances/Zoning,30,Arlington R-10 single-family; 10000 sq ft min lot; North Arlington; more suburban character
3050 S Glebe Rd Arlington VA 22206,Arlington County VA,RA6-15,30 ft,20 ft,25 ft,60 ft,55%,https://www.arlingtonva.us/Government/Programs/Building/Codes-Ordinances/Zoning,45,Arlington RA6-15 multifamily residential; Crystal City / Pentagon City area; mid-rise allowed
1401 Wilson Blvd Arlington VA 22209,Arlington County VA,C-O-2.5,10 ft,0 ft,10 ft,75 ft,90%,https://www.arlingtonva.us/Government/Programs/Building/Codes-Ordinances/Zoning,60,Arlington Rosslyn office corridor; mixed commercial/residential overlay; high density
4510 Guinea Rd Fairfax VA 22032,Fairfax County VA,R-2,35 ft,10 ft,30 ft,35 ft,30%,https://www.fairfaxcounty.gov/planning-development/zoning,45,Fairfax R-2 residential; 8000 sq ft min lot; typical suburban single-family detached
