Soft Cost,Basis,Amount
Land purchase,User-provided,7500000
Acquisition and closing,1.5% of land; title/legal/tax assumption,112500
Architecture and engineering,6.5% of contract hard cost,18378168.40213245
Permits and impact fees,3.0% allowance; County/WSSC schedules unresolved,8482231.570214976
Legal and entitlement,Conceptual allowance,1250000
Testing and inspections,0.75% of contract hard cost,2120557.892553744
Owner insurance,0.6% of contract hard cost,1696446.3140429955
Taxes and carrying before financing,Conceptual allowance,1400000
Developer fee,3.5% of contract hard cost,9895936.831917474
Marketing and lease-up,"$4,000/unit plus retail launch",2320000
Initial operating reserve,"$3,500/unit",1680000
Owner contingency,3.0% of contract hard cost,8482231.570214976
Construction financing,36 months / 70% LTC / 8.5%,33494159.75748695
