Finding,Status,Action
R01,PARTIAL,"Recorded boundary survey and WSSC benchmarks documented; vertical datum, grading, floor and utility design remain"
R02,PARTIAL,Both addresses added; owner and responsible professional details/signatures required
R03,OPEN,Public utility containment and continuous approved connections
R04,PARTIAL,Recorded status confirmed by applicant; upper private extension removed; no unlettered width asserted
R05,PARTIAL,"Updated surface takeoff and lot-wide WQv screening supplied; approved concept, catchments and facility design remain"
R06,PARTIAL,Proposed measured LOD added; final ESC design and approvals remain
R07,PARTIAL,Soil component table/historical evidence added; current environmental/landscape documents remain
R08,PARTIAL,Measured per-lot footprint clearances/ratios added; yard interpretation and projections remain
R09,PARTIAL,Recorded areas and label corrections made; survey/control reconciliation remains
R10,CLOSED,Full recorded conditions/adjoiners/legend supplied without ellipses
R11,OPEN,"Frontage width, cross slopes, driveway profiles and DPW&T determination"
R12,PARTIAL,Kingsworth areaways added; Lot 2 shifted to clear 8-foot side; complete upper building/trade designs remain
R13,PARTIAL,Source dossier and preparation worksheet supplied; executed applications/approvals remain
